Facility_Name,City,State,Beds,Ownership,NPI,Medicare_ID,AHD_URL,Total Staffed Bed,Occupancy_%,ALOS_Days, Annual_Discharges , Annual_Patient_Days ,Patient Reve,Medicare_%,Medicaid_%,Commercial_%,Self_Pay_%,Data_Date,Notes
Alliance Health Center,Meridian,MS,214,OWNED,1366601874,250151,https://www.ahd.com/free_profile/250151/Alliance-Health-Center/Meridian/MS/,154,,,281,"5,450",x,,,,,10/22/25,Extract from AHD
Anchor Hospital,Atlanta,GA,122,OWNED,1023095429,114023,https://www.ahd.com/free_profile/114023/Anchor-Hospital/Atlanta/GA/,122,,,"4,128","33,085","$76,295,535 ",,,,,10/22/25,Extract from AHD
Arbour Hospital,Jamaica Plain,MA,142,OWNED,1194071803,224001,https://www.ahd.com/free_profile/224001/Arbour-Hospital/Jamaica-Plain/MA/,142,,,"2,219","47,979","$79,282,121 ",,,,,10/22/25,Extract from AHD
Austin Oaks Hospital,Austin,TX,80,OWNED,1366442550,454121,https://www.ahd.com/free_profile/454121/Austin-Oaks-Hospital/Austin/TX/,80,,,"2,770","18,042","$37,458,777 ",,,,,10/22/25,Extract from AHD
Behavioral Hospital of Bellaire,Houston,TX,124,LEASED,1538886932,674043,https://www.ahd.com/free_profile/674043/Behavioral-Hospital-of-Bellaire/Houston/TX/,122,,,"4,652","40,171","$85,636,750 ",,,,,10/22/25,Extract from AHD
BHC Alhambra Hospital,Rosemead,CA,115,OWNED,1811430614,54076,https://hcai.ca.gov/facility/bhc-alhambra-hospital/,97,,,"4,646","33,055","$77,760,514 ",,,,,10/22/25,Extract from AHD
Brentwood Hospital,Shreveport,LA,260,OWNED,1417979204,194020,https://www.ahd.com/free_profile/194049/Brentwood-Hospital/Shreveport/LA/,243,,,"6,996","63,123","$170,129,611 ",,,,,10/22/25,Extract from AHD
Cedar Springs Hospital,Colorado Springs,CO,110,OWNED,1972980027,064009,https://www.ahd.com/free_profile/064018/Cedar-Springs-Hospital/Colorado-Springs/CO/,86,,,"3,705","22,542","$70,928,792 ",,,,,10/22/25,Extract from AHD
Centennial Peaks Hospital,Louisville,CO,104,OWNED,1760623888,064007,https://www.ahd.com/free_profile/064026/Centennial-Peaks-Hospital/Louisville/CO/,104,,,"3,929","30,708","$93,263,490 ",,,,,10/22/25,Extract from AHD
Central Florida Behavioral Hospital,Orlando,FL,174,OWNED,,104072,https://www.ahd.com/free_profile/104084/Central-Florida-Behavioral-Hospital/Orlando/FL/,174,,,"7,735","44,811","$111,810,985 ",,,,,10/22/25,Extract from AHD
Coral Shores Behavioral Health,Stuart,FL,80,OWNED,1366895096,104080,https://www.ahd.com/free_profile/104085/Coral-Shores-Behavioral-Health/Stuart/FL/,80,,,"2,880","19,028","$43,879,065 ",,,,,10/22/25,Extract from AHD
Cypress Creek Hospital,Houston,TX,128,OWNED,,454108,https://www.ahd.com/free_profile/454084/Cypress-Creek-Hospital/Houston/TX/,128,,,"4,915","36,610","$80,641,958 ",,,,,10/22/25,Extract from AHD
Del Amo Behavioral Health System,Torrance,CA,166,OWNED,1245203447,054053,https://hcai.ca.gov/facility/del-amo-hospital/,166,,,"6,981","52,901","$118,246,652 ",,,,,10/22/25,Extract from AHD
Emerald Coast Behavioral Hospital,Panama City,FL,86,OWNED,1932742491,104073,https://www.ahd.com/free_profile/104082/Emerald-Coast-Behavioral-Hospital/Panama-City/FL/,86,,,"2,137","22,316","$71,477,319 ",,,,,10/22/25,Extract from AHD
