Facility_Name,City,State,Beds,Ownership,Part,NPI,NPI_Legal_Name,Phone,Address,ZIP,Specialty,Medicare_ID,Has_AHD_Data,AHD_URL
Alabama Clinical Schools,Birmingham,AL,80,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Alabama+Clinical+Schools+AL
Alliance Health Center,Meridian,MS,214,OWNED,1,1366601874,ALLIANCE HEALTH CENTER,601-483-6211,5000 HWY 39 N,39301,Medicare Defined Swing Bed Unit,250151,Yes,https://www.ahd.com/free_profile/250151/Alliance-Health-Center/Meridian/MS/
Anchor Hospital,Atlanta,GA,122,OWNED,1,1023095429,UHS OF ANCHOR L.P.,770-991-6044,5454 YORKTOWN DRIVE,30349,Psychiatric Hospital,114023,Yes,https://www.ahd.com/free_profile/114023/Anchor-Hospital/Atlanta/GA/
Arbour Hospital,Jamaica Plain,MA,142,OWNED,1,1194071803,ARBOUR COUNSELING SERVICES,617-524-1120,49 ROBINWOOD AVE,02130,"Counselor, Mental Health",224001,Yes,https://www.ahd.com/free_profile/224001/Arbour-Hospital/Jamaica-Plain/MA/
Arrowhead Behavioral Health,Maumee,OH,48,OWNED,1,1538587126,ARROWHEAD BEHAVIORAL HEALTH,419-891-9333,1725 TIMBER LINE RD,43537,"Psychiatry & Neurology, Psychiatry",,No,https://www.ahd.com/search.php?search=Arrowhead+Behavioral+Health+OH
Aspen Grove Behavioral Hospital,Orem,UT,80,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Aspen+Grove+Behavioral+Hospital+UT
Austin Oaks Hospital,Austin,TX,80,OWNED,1,1366442550,TEXAS OAKS PSYCHIATRIC HOSPITAL LP,512-464-0200,1407 W STASSNEY LN,78745,Psychiatric Residential Treatment Facility,454097,Yes,https://www.ahd.com/free_profile/454097/Austin-Oaks-Hospital/Austin/TX/
Beaumont Behavioral Health,Dearborn,MI,144,LEASED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Beaumont+Behavioral+Health+MI
Behavioral Hospital of Bellaire,Houston,TX,124,LEASED,1,1538886932,"BEHAVIORAL HEALTH MANAGEMENT, LLC",713-600-9500,5314 DASHWOOD DR,77081,"Nurse Practitioner, Psych/Mental Health",674043,Yes,https://www.ahd.com/free_profile/674043/Behavioral-Hospital-of-Bellaire/Houston/TX/
Belmont Pines Hospital,Youngstown,OH,127,OWNED,1,1245781095,BHC BELMONT PINES HOSPITAL INC,330-759-2700,2282 REEVES RD NE,44483,Psychiatric Residential Treatment Facility,,No,https://www.ahd.com/search.php?search=Belmont+Pines+Hospital+OH
Benchmark Behavioral Health Systems,Woods Cross,UT,94,OWNED,1,1407832249,"BENCHMARK BEHAVIORAL HEALTH SYSTEM, INC.",801-299-5300,592 W 1350 S,84010,Psychiatric Hospital,,No,https://www.ahd.com/search.php?search=Benchmark+Behavioral+Health+Systems+UT
BHC Alhambra Hospital,Rosemead,CA,115,OWNED,1,1811430614,BHC ALHAMBRA HOSPITAL,626-286-1191,4619 N. ROSEMEAD BLVD,91770,Psychiatric Residential Treatment Facility,054076,Yes,https://www.ahd.com/free_profile/054076/BHC-Alhambra-Hospital/Rosemead/CA/
Black Bear Lodge,Sautee Nacoochee,GA,115,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Black+Bear+Lodge+GA
Bloomington Meadows Hospital,Bloomington,IN,78,OWNED,1,1891796108,BLOOMINGTON MEADOWS GP,812-331-8000,3600 N PROW RD,47404,Psychiatric Hospital,,No,https://www.ahd.com/search.php?search=Bloomington+Meadows+Hospital+IN
Brentwood Behavioral Healthcare,Flowood,MS,133,OWNED,1,1528273919,BRENTWOOD ACQUISITION,,3531 LAKELAND DR,39232,"Psychiatry & Neurology, Psychiatry",,No,https://www.ahd.com/search.php?search=Brentwood+Behavioral+Healthcare+MS
Brentwood Hospital,Shreveport,LA,260,OWNED,1,1417979204,BRENTWOOD ACQUISITION-SHREVEPORT INC.,318-678-7500,1006 HIGHLAND AVE,71101,"Psychiatry & Neurology, Psychiatry",194049,Yes,https://www.ahd.com/free_profile/194049/Brentwood-Hospital/Shreveport/LA/
The Bridgeway,North Little Rock,AR,127,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=The+Bridgeway+AR
The Brook Hospital—Dupont,Louisville,KY,88,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=The+Brook+Hospital—Dupont+KY
The Brook Hospital—KMI,Louisville,KY,110,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=The+Brook+Hospital—KMI+KY
