Facility Name,Location,Number of Beds,Property Ownership
Aiken Regional Medical Centers,Aiken South Carolina,211,Leased
Aurora Pavilion Behavioral Health Services,Aiken South Carolina,62,Leased
Centennial Hills Hospital Medical Center,Las Vegas Nevada,339,Owned
Corona Regional Medical Center,Corona California,259,Owned
Desert View Hospital,Pahrump Nevada,25,Owned
Doctors Hospital of Laredo,Laredo Texas,183,Owned
Fort Duncan Regional Medical Center,Eagle Pass Texas,101,Owned
The George Washington University Hospital,Washington D.C.,395,Leased
Henderson Hospital,Henderson Nevada,303,Owned
Lakewood Ranch Medical Center,Lakewood Ranch Florida,120,Owned
Manatee Memorial Hospital,Bradenton Florida,295,Owned
Northern Nevada Medical Center,Sparks Nevada,124,Owned
Northern Nevada Regional Medical Center,Reno Nevada,124,Owned
Northern Nevada Sierra Medical Center,Reno Nevada,170,Owned
Palmdale Regional Medical Center,Palmdale California,156,Owned
St. Mary's Medical Center,San Francisco California,190,Owned
Southwest Healthcare System Inland Valley,Wildomar California,122,Owned
Southwest Healthcare System Rancho Springs,Murrieta California,120,Owned
Summerlin Hospital Medical Center,Las Vegas Nevada,454,Owned
Turquoise Springs Medical Center,Turlock California,125,Owned
Valley Hospital Medical Center,Las Vegas Nevada,420,Owned
Wellington Regional Medical Center,West Palm Beach Florida,158,Leased
McAllen Medical Center,McAllen Texas,420,Leased
UHS Del Sol Medical Center,El Paso Texas,400,Owned
Temecula Valley Hospital,Temecula California,140,Owned
Springs Memorial Hospital,Lancaster South Carolina,186,Owned
Texoma Medical Center,Denison Texas,414,Owned
Northwest Texas Healthcare System,Amarillo Texas,420,Owned
