Facility Name,Location,Number of Beds,Property Ownership
Alabama Clinical Schools,Birmingham Alabama,80,Owned
Alliance Health Center,Meridian Mississippi,214,Owned
Anchor Hospital,Atlanta Georgia,122,Owned
Arbour Hospital,Jamaica Plain Massachusetts,142,Owned
Arrowhead Behavioral Health,Maumee Ohio,48,Owned
Aspen Grove Behavioral Hospital,Orem Utah,80,Owned
Austin Oaks Hospital,Austin Texas,80,Owned
Beaumont Behavioral Health,Dearborn Michigan,144,Leased
Behavioral Hospital of Bellaire,Houston Texas,124,Leased
Belmont Pines Hospital,Youngstown Ohio,127,Owned
Benchmark Behavioral Health Systems,Woods Cross Utah,94,Owned
BHC Alhambra Hospital,Rosemead California,115,Owned
Black Bear Lodge,Sautee Nacoochee Georgia,115,Owned
Bloomington Meadows Hospital,Bloomington Indiana,78,Owned
Brentwood Behavioral Healthcare,Flowood Mississippi,133,Owned
Brentwood Hospital,Shreveport Louisiana,260,Owned
The Bridgeway,North Little Rock Arkansas,127,Owned
The Brook Hospital—Dupont,Louisville Kentucky,88,Owned
The Brook Hospital—KMI,Louisville Kentucky,110,Owned
Brooke Glen Behavioral Hospital,Fort Washington Pennsylvania,146,Owned
Brynn Marr Hospital,Jacksonville North Carolina,102,Owned
Calvary Healing Center,Phoenix Arizona,68,Owned
Canyon Creek Behavioral Health,Temple Texas,102,Leased
Canyon Ridge Hospital,Chino California,157,Owned
The Carolina Center for Behavioral Health,Greer South Carolina,156,Owned
Cedar Creek Hospital,St. Johns Michigan,69,Owned
Cedar Hills Hospital,Portland Oregon,98,Owned
Cedar Ridge Behavioral Hospital,Oklahoma City Oklahoma,60,Owned
Cedar Ridge Behavioral Hospital at Bethany,Bethany Oklahoma,56,Owned
Cedar Ridge Residential Treatment Center,Oklahoma City Oklahoma,56,Owned
Cedar Springs Hospital,Colorado Springs Colorado,110,Owned
Centennial Peaks Hospital,Louisville Colorado,104,Owned
Center for Change,Orem Utah,66,Owned
Central Florida Behavioral Hospital,Orlando Florida,174,Owned
Clarion Psychiatric Center,Clarion Pennsylvania,112,Owned
Clive Behavioral Health,Clive Iowa,100,Leased
Coastal Behavioral Health,Savannah Georgia,50,Owned
Coastal Harbor Treatment Center,Savannah Georgia,145,Owned
Columbus Behavioral Center for Children and Adolescents,Columbus Indiana,57,Owned
Compass Intervention Center,Memphis Tennessee,148,Owned
Copper Hills Youth Center,West Jordan Utah,164,Owned
Coral Shores Behavioral Health,Stuart Florida,80,Owned
Cumberland Hall Hospital,Hopkinsville Kentucky,97,Owned
Cumberland Hospital for Children and Adolescents,New Kent Virginia,108,Owned
Cypress Creek Hospital,Houston Texas,128,Owned
Del Amo Behavioral Health System,Torrance California,166,Owned
Diamond Grove Center,Louisville Mississippi,61,Owned
Dover Behavioral Health System,Dover Delaware,104,Owned
El Paso Behavioral Health System,El Paso Texas,166,Owned
Emerald Coast Behavioral Hospital,Panama City Florida,86,Owned
Fairfax,Kirkland Washington,157,Owned
Fairfax Behavioral Health,Kirkland Washington,157,Owned
Fairfax Behavioral Health—Everett,Everett Washington,30,Leased
Fairfax Behavioral Health—Monroe,Monroe Washington,34,Leased
Fairmount Behavioral Health System,Philadelphia Pennsylvania,239,Owned
Forest View Hospital,Grand Rapids Michigan,108,Owned
Fort Lauderdale Behavioral Health Center,Fort Lauderdale Florida,182,Owned
Foundations Behavioral Health,Doylestown Pennsylvania,122,Leased
Foundations for Living,Mansfield Ohio,84,Owned
Fox Run Center,St. Clairsville Ohio,100,Owned
Fremont Hospital,Fremont California,148,Owned
Friends Hospital,Philadelphia Pennsylvania,219,Owned
Fuller Hospital,Attleboro Massachusetts,109,Owned
Garfield Park Behavioral Hospital,Chicago Illinois,88,Owned
Glen Oaks Hospital,Greenville Texas,54,Owned
Granite Hills Hospital,West Allis Wisconsin,120,Leased
Gulf Coast Treatment Center,Fort Walton Beach Florida,28,Owned
Gulfport Behavioral Health System,Gulfport Mississippi,109,Owned
Hampton Behavioral Health Center,Westampton New Jersey,120,Owned
Harbor Point Behavioral Health Center,Portsmouth Virginia,186,Owned
Hartgrove Behavioral Health System,Chicago Illinois,160,Owned
Havenwyck Hospital,Auburn Hills Michigan,253,Owned
Heartland Behavioral Health Services,Nevada Missouri,137,Owned
Heritage Oaks Hospital,Sacramento California,125,Owned
Heritage Oaks Patient Enrichment Center,Sacramento California,16,Owned
Hermitage Hall,Nashville Tennessee,111,Owned
Hickory Trail Hospital,DeSoto Texas,86,Owned
Highlands Behavioral Health System,Littleton Colorado,86,Owned
Hill Crest Behavioral Health Services,Birmingham Alabama,221,Owned
Holly Hill Hospital,Raleigh North Carolina,296,Owned
The Horsham Clinic,Ambler Pennsylvania,206,Owned
HRI Hospital,Brookline Massachusetts,66,Owned
The Hughes Center,Danville Virginia,96,Owned
Inland Northwest Behavioral Health,Spokane Washington,100,Owned
Intermountain Hospital,Boise Idaho,155,Owned
Kempsville Center for Behavioral Health,Norfolk Virginia,106,Owned
KeyStone Center,Chester Pennsylvania,153,Owned
Kingwood Pines Hospital,Kingwood Texas,116,Owned
La Amistad Behavioral Health Services,Maitland Florida,85,Owned
Lakeside Behavioral Health System,Memphis Tennessee,373,Owned
Lancaster Behavioral Health Hospital,Lancaster Pennsylvania,126,Owned
Laurel Heights Hospital,Atlanta Georgia,132,Owned
Laurel Oaks Behavioral Health Center,Dothan Alabama,118,Owned
Laurel Ridge Treatment Center,San Antonio Texas,330,Owned
Liberty Point Behavioral Healthcare,Stauton Virginia,42,Owned
Lighthouse Behavioral Health Hospital,Conway South Carolina,105,Owned
Lighthouse Care Center of Augusta,Augusta Georgia,82,Owned
Lincoln Prairie Behavioral Health Center,Springfield Illinois,97,Owned
Lincoln Trail Behavioral Health System,Radcliff Kentucky,140,Owned
Mayhill Hospital,Denton Texas,59,Leased
McDowell Center for Children,Dyersburg Tennessee,32,Owned
