
Facility Name,State / Region,City,Beds,Estimated_patient_days,Estimated_occupancy_rate
Aiken Regional Medical Centers,South Carolina,Aiken,211.0,53910,0.7
Aurora Pavilion Behavioral Health Services,South Carolina,Aiken,62.0,15841,0.7
ER at Sweetwater North,South Carolina,Augusta,,,0.7
ER at Valley Vista North Las,Nevada,Vegas,,,0.7
ER at West Craig Las,Nevada,Vegas,,,0.7
Corona Regional Medical Center,California,Corona,259.0,66174,0.7
Fort Duncan Regional Medical Center Eagle,Texas,Pass,101.0,25806,0.7
ER at Cadence,Nevada,Henderson,,,0.7
ER at Green Valley Ranch,Nevada,Henderson,,,0.7
Lakewood Ranch Medical Center Lakewood,Florida,Ranch,120.0,30660,0.7
ER at Fruitville,Florida,Sarasota,,,0.7
ER at Palma Sola,Florida,Bradenton,,,0.7
ER at Sun City Center,Florida,Wimauma,,,0.7
Manatee ER at Bayshore Gardens,Florida,Bradenton,,,0.7
Northern Nevada Medical Center,Nevada,Sparks,124.0,31682,0.7
Northwest Specialty Hospital (Behavioral Health),Nevada,Reno,70.0,17885,0.7
Sierra Medical Center,Nevada,Reno,158.0,40369,0.7
ER at Damonte Ranch,Nevada,Reno,,,0.7
ER at McCarran NW,Nevada,Reno,,,0.7
ER at Spanish Springs,Nevada,Sparks,,,0.7
Northwest Texas Healthcare System,Texas,Amarillo,405.0,103478,0.7
Northwest Texas Healthcare System Behavioral Health,Texas,Amarillo,90.0,22995,0.7
Northwest Emergency at Tascosa,Texas,Amarillo,,,0.7
Northwest Emergency at Town Square,Texas,Amarillo,,,0.7
Northwest Emergency on Georgia,Texas,Amarillo,,,0.7
Palmdale Regional Medical Center,California,Palmdale,184.0,47012,0.7
Children’s,Texas,Edinburg,294.0,75117,0.7
"South Texas Health System Behavioral Edinburg, Texas South Texas Health System Heart McAllen, Texas South Texas Health System McAllen McAllen, Texas South Texas Health System ER Alamo Alamo, Texas South Texas Health System ER McColl Edinburg, Texas South Texas Health System ER Mission Mission, Texas South Texas Health System ER Monte Cristo Edinburg, Texas South Texas Health System ER Pharr Pharr, Texas South Texas Health System ER Ware Road McAllen, Texas South Texas Health System ER Weslaco",Texas,Weslaco,134.0,34237,0.7
ER at Blue Diamond Las,Nevada,Vegas,,,0.7
St. Mary’s Regional Medical Center,Oklahoma,Enid,229.0,58509,0.7
ER at South Summerlin Las,Nevada,Vegas,,,0.7
Texoma Medical Center,Texas,Denison,354.0,90447,0.7
TMC Behavioral Health Center,Texas,Sherman,60.0,15330,0.7
ER at Anna,Texas,Anna,,,0.7
ER at Sherman,Texas,Sherman,,,0.7
Elite Medical Center (ER) Las,Nevada,Vegas,,,0.7
ER at Desert Springs Las,Nevada,Vegas,,,0.7
ER at North Las Vegas North Las,Nevada,Vegas,,,0.7
Wellington Regional Medical Center,Florida,Wellington,235.0,60042,0.7
Alabama Clinical Schools,Alabama,Birmingham,80.0,20440,0.7
Alliance Health Center,Mississippi,Meridian,214.0,54677,0.7
Arrowhead Behavioral Health,Ohio,Maumee,48.0,12264,0.7
Aspen Grove Behavioral Hospital,Utah,Orem,80.0,20440,0.7
Beaumont Behavioral Health,Michigan,Dearborn,144.0,36792,0.7
Behavioral Hospital of Bellaire,Texas,Houston,124.0,31682,0.7
Benchmark Behavioral Health Systems Woods,Utah,Cross,94.0,24017,0.7
Black Bear Lodge Sautee,Georgia,Nacoochee,115.0,29382,0.7
Brentwood Behavioral Healthcare,Mississippi,Flowood,133.0,33982,0.7
The Bridgeway North Little,Arkansas,Rock,127.0,32448,0.7
Brooke Glen Behavioral Hospital Fort,Pennsylvania,Washington,146.0,37303,0.7
Calvary Healing Center,Arizona,Phoenix,68.0,17374,0.7
Canyon Creek Behavioral Health,Texas,Temple,102.0,26061,0.7
The Carolina Center for Behavioral Health,South Carolina,Greer,156.0,39858,0.7
Cedar Ridge Behavioral Hospital Oklahoma,Oklahoma,City,60.0,15330,0.7
Cedar Ridge Behavioral Hospital at Bethany,Oklahoma,Bethany,56.0,14308,0.7
Cedar Ridge Residential Treatment Center Oklahoma,Oklahoma,City,56.0,14308,0.7
Center for Change,Utah,Orem,66.0,16863,0.7
Central Florida Behavioral Hospital,Florida,Orlando,174.0,44457,0.7
Clarion Psychiatric Center,Pennsylvania,Clarion,112.0,28616,0.7
Clive Behavioral Health,Iowa,Clive,100.0,25550,0.7
Coastal Behavioral Health,Georgia,Savannah,50.0,12775,0.7
Coastal Harbor Treatment Center,Georgia,Savannah,145.0,37048,0.7
Columbus Behavioral Center for Children and Adolescents,Indiana,Columbus,57.0,14563,0.7
Compass Intervention Center,Tennessee,Memphis,148.0,37814,0.7
Copper Hills Youth Center West,Utah,Jordan,164.0,41902,0.7
Coral Shores Behavioral Health,Florida,Stuart,80.0,20440,0.7
Del Amo Behavioral Health System,California,Torrance,166.0,42413,0.7
Diamond Grove Center,Mississippi,Louisville,61.0,15585,0.7
Dover Behavioral Health System,Delaware,Dover,104.0,26572,0.7
El Paso Behavioral Health System El,Texas,Paso,166.0,42413,0.7
Emerald Coast Behavioral Hospital Panama,Florida,City,86.0,21973,0.7
Fairfax Behavioral Health,Washington,Kirkland,157.0,40114,0.7
Fairfax Behavioral Health—Everett,Washington,Everett,30.0,7665,0.7
Fairfax Behavioral Health—Monroe,Washington,Monroe,34.0,8687,0.7
Fairmount Behavioral Health System,Pennsylvania,Philadelphia,239.0,61064,0.7
Fort Lauderdale Behavioral Health Center Fort,Florida,Lauderdale,182.0,46501,0.7
Foundations Behavioral Health,Pennsylvania,Doylestown,122.0,31171,0.7
Foundations for Living,Ohio,Mansfield,84.0,21462,0.7
Fox Run Center St.,Ohio,Clairsville,100.0,25550,0.7
Garfield Park Behavioral Hospital,Illinois,Chicago,88.0,22484,0.7
Gulf Coast Treatment Center Fort Walton,Florida,Beach,28.0,7154,0.7
Gulfport Behavioral Health System,Mississippi,Gulfport,109.0,27850,0.7
Hampton Behavioral Health Center,New Jersey,Westampton,120.0,30660,0.7
Harbor Point Behavioral Health Center,Virginia,Portsmouth,186.0,47523,0.7
Hartgrove Behavioral Health System,Illinois,Chicago,160.0,40880,0.7
Heartland Behavioral Health Services,Missouri,Nevada,137.0,35004,0.7
Heritage Oaks Patient Enrichment Center,California,Sacramento,16.0,4088,0.7
Hermitage Hall,Tennessee,Nashville,111.0,28360,0.7
Highlands Behavioral Health System,Colorado,Littleton,86.0,21973,0.7
Hill Crest Behavioral Health Services,Alabama,Birmingham,221.0,56466,0.7
The Horsham Clinic,Pennsylvania,Ambler,206.0,52633,0.7
The Hughes Center,Virginia,Danville,96.0,24528,0.7
Inland Northwest Behavioral Health,Washington,Spokane,100.0,25550,0.7
Kempsville Center for Behavioral Health,Virginia,Norfolk,106.0,27083,0.7
KeyStone Center,Pennsylvania,Chester,153.0,39092,0.7
La Amistad Behavioral Health Services,Florida,Maitland,85.0,21718,0.7
Lakeside Behavioral Health System,Tennessee,Memphis,373.0,95302,0.7
Lancaster Behavioral Health Hospital,Pennsylvania,Lancaster,126.0,32193,0.7
Laurel Oaks Behavioral Health Center,Alabama,Dothan,118.0,30149,0.7
Laurel Ridge Treatment Center San,Texas,Antonio,330.0,84315,0.7
Liberty Point Behavioral Healthcare,Virginia,Stauton,42.0,10731,0.7
Lighthouse Behavioral Health Hospital,South Carolina,Conway,105.0,26828,0.7
Lighthouse Care Center of Augusta,Georgia,Augusta,82.0,20951,0.7
Lincoln Prairie Behavioral Health Center,Illinois,Springfield,97.0,24784,0.7
Lincoln Trail Behavioral Health System,Kentucky,Radcliff,140.0,35770,0.7
McDowell Center for Children,Tennessee,Dyersburg,32.0,8176,0.7
The Meadows Psychiatric Center Centre,Pennsylvania,Hall,119.0,30404,0.7
Meridell Achievement Center Liberty,Texas,Hill,134.0,34237,0.7
Michael’s House Palm,California,Springs,60.0,15330,0.7
Michiana Behavioral Health,Indiana,Plymouth,83.0,21206,0.7
Midwest Center for Youth and Families,Indiana,Kouts,75.0,19162,0.7
Mountain Youth Academy Mountain,Tennessee,City,122.0,31171,0.7
Newport News Behavioral Health Center Newport,Virginia,News,132.0,33726,0.7
North Spring Behavioral Healthcare,Virginia,Leesburg,127.0,32448,0.7
North Star DeBarr Residential Treatment Center,Alaska,Anchorage,30.0,7665,0.7
North Star Palmer Residential Treatment Center,Alaska,Palmer,30.0,7665,0.7
Oak Plains Academy Ashland,Tennessee,City,60.0,15330,0.7
Okaloosa Youth Academy,Florida,Crestview,72.0,18396,0.7
Old Vineyard Behavioral Health Services,North Carolina,Winston-Salem,164.0,41902,0.7
Palm Point Behavioral Health,FL,Titusville,74.0,18907,0.7
Palm Shores Behavioral Health Center,Florida,Bradenton,65.0,16608,0.7
Palmetto Lowcountry Behavioral Health North,South Carolina,Charleston,108.0,27594,0.7
Palo Verde Behavioral Health,Arizona,Tucson,84.0,21462,0.7
Parkwood Behavioral Health System Olive,Mississippi,Branch,148.0,37814,0.7
The Pavilion Behavioral Health System,Illinois,Champaign,122.0,31171,0.7
Pinnacle Pointe Behavioral Healthcare System Little,Arkansas,Rock,127.0,32448,0.7
Prairie St John’s,North Dakota,Fargo,132.0,33726,0.7
PRIDE Institute Eden,Minnesota,Prairie,42.0,10731,0.7
Provo Canyon School,Utah,Provo,250.0,63875,0.7
Psychiatric Institute of Washington,D.C.,Washington,130.0,33215,0.7
Quail Run Behavioral Health,Arizona,Phoenix,116.0,29638,0.7
The Ridge Behavioral Health System,Kentucky,Lexington,110.0,28105,0.7
Rivendell Behavioral Health Hospital Bowling,Kentucky,Green,125.0,31937,0.7
Rivendell Behavioral Health Services of Arkansas,Arkansas,Benton,80.0,20440,0.7
River Point Behavioral Health,Florida,Jacksonville,84.0,21462,0.7
River Vista Behavioral Health,California,Madera,128.0,32704,0.7
Rockford Center,Delaware,Newark,148.0,37814,0.7
Roxbury Treatment Center,Pennsylvania,Shippensburg,112.0,28616,0.7
Saint Simons By-The-Sea Saint Simons,Georgia,Island,101.0,25806,0.7
Salt Lake Behavioral Health Salt Lake,Utah,City,118.0,30149,0.7
San Marcos Treatment Center San,Texas,Marcos,265.0,67708,0.7
SandyPines Residential Treatment Center,Florida,Jupiter,149.0,38070,0.7
Skywood Recovery,Michigan,Augusta,100.0,25550,0.7
Southeast Behavioral Health Cape,Missouri,Girardeau,102.0,26061,0.7
Spring Mountain Sahara Las,Nevada,Vegas,30.0,7665,0.7
Spring Mountain Treatment Center Las,Nevada,Vegas,110.0,28105,0.7
Springwoods Behavioral Health,Arkansas,Fayetteville,80.0,20440,0.7
Stonington Institute North,Connecticut,Stonington,64.0,16352,0.7
Streamwood Behavioral Healthcare System,Illinois,Streamwood,178.0,45479,0.7
Suncoast Behavioral Health Center,Florida,Bradenton,60.0,15330,0.7
Texas NeuroRehab Center,Texas,Austin,137.0,35004,0.7
Three Rivers Behavioral Health West,South Carolina,Columbia,129.0,32960,0.7
Three Rivers Midlands West,South Carolina,Columbia,64.0,16352,0.7
Turning Point Care Center,Georgia,Moultrie,79.0,20184,0.7
University Behavioral Center,Florida,Orlando,112.0,28616,0.7
University Behavioral Health of Denton,Texas,Denton,104.0,26572,0.7
Valle Vista Health System,Indiana,Greenwood,140.0,35770,0.7
Via Linda Behavioral Hospital,Arizona,Scottsdale,120.0,30660,0.7
Virginia Beach Psychiatric Center Virginia,Virginia,Beach,100.0,25550,0.7
Wekiva Springs Center,Florida,Jacksonville,120.0,30660,0.7
Willow Springs Center,Nevada,Reno,116.0,29638,0.7
Windmoor Healthcare of Clearwater,Florida,Clearwater,144.0,36792,0.7
Windsor Laurelwood Center for Behavioral Medicine,Ohio,Willoughby,160.0,40880,0.7
Wyoming Behavioral Institute,Wyoming,Casper,137.0,35004,0.7
First Hospital Panamericano—Cidra,Puerto Rico,Cidra,165.0,42158,0.7
First Hospital Panamericano—Ponce,Puerto Rico,Ponce,30.0,7665,0.7
First Hospital Panamericano—San Juan San,Puerto Rico,Juan,45.0,11498,0.7
