Facility Name,Location,Number of Beds,Property Ownership
Adarna House,Bradford UK,9,Owned
Adele Cottages,Rainworth UK,4,Owned
Amberwood Lodge,Dorset UK,9,Owned
Ashbrook,Birmingham UK,16,Owned
Ashfield House,Huddersfield UK,6,Owned
Beacon House Lower,Bradford UK,8,Owned
Beacon House Upper,Bradford UK,8,Owned
Beckly,Halifax UK,12,Owned
Beeches,Retford UK,12,Owned
Birches,Newark UK,6,Owned
Broughton House,Lincolnshire UK,34,Owned
Broughton Lodge,Macclesfield UK,20,Owned
Chaseways,Sawbridgeworth UK,6,Owned
Cherry Tree House,Mansfield Woodhouse UK,6,Owned
Colchester – Chestnut Court,Essex UK,8,Owned
Conifers,Derby UK,7,Owned
Cygnet Acer,Chesterfield UK,14,Owned
Cygnet Acer 2,Chesterfield UK,14,Owned
Cygnet Alders Clinic,Gloucester UK,20,Owned
Cygnet Appletree,Meadowfield UK,26,Owned
Cygnet Aspen Clinic,Doncaster UK,16,Owned
Cygnet Aspen House,Doncaster UK,20,Owned
Cygnet Bostall House,Abbey Wood UK,6,Owned
Cygnet Brunel,Bristol UK,32,Owned
Cygnet Cedar Vale,East Bridgeford UK,16,Owned
Cygnet Cedars,Birmingham UK,24,Owned
Cygnet Churchill,London UK,57,Owned
Cygnet Delfryn House,Flintshire UK,28,Owned
Cygnet Delfryn Lodge,Flintshire UK,24,Owned
Cygnet Elms,Birmingham UK,10,Owned
Cygnet Fountains,Blackburn UK,34,Owned
Cygnet Grange,Sutton-in-Ashfield UK,8,Owned
Cygnet Heathers,West Bromwich UK,20,Owned
Cygnet Hospital—Beckton,London UK,62,Owned
Cygnet Hospital—Bierley,Bradford UK,63,Owned
Cygnet Hospital—Blackheath,London UK,32,Leased
Cygnet Hospital—Bury,Bury UK,187,Owned
Cygnet Hospital—Clifton,Nottingham UK,25,Owned
Cygnet Hospital—Derby,Derby UK,50,Owned
Cygnet Hospital—Ealing,Ealing UK,26,Owned
Cygnet Hospital—Godden Green,Sevenoaks UK,39,Owned
Cygnet Hospital—Harrogate,Harrogate UK,36,Owned
Cygnet Hospital—Harrow,Harrow UK,64,Owned
Cygnet Hospital—Hexham,Hexham UK,27,Owned
Cygnet Hospital—Kewstoke,Kewstoke UK,72,Owned
Cygnet Hospital—Maidstone,Maidstone UK,65,Owned
Cygnet Hospital—Oldbury,Oldbury UK,27,Owned
Cygnet Hospital—Sheffield,Sheffield UK,57,Owned
Cygnet Hospital—Sherwood,Mansfield UK,44,Owned
Cygnet Hospital—Stevenage,Stevenage UK,88,Owned
Cygnet Hospital—Taunton,Taunton UK,57,Owned
Cygnet Hospital—Woking,Woking UK,62,Owned
Cygnet Hospital—Wolverhampton,Wolverhampton UK,29,Owned
Cygnet Hospital—Wyke,Bradford UK,52,Owned
Cygnet Hospital Colchester - Highwoods,Colchester UK,20,Owned
Cygnet Hospital Colchester - Larch Court,Essex UK,4,Owned
Cygnet Hospital Colchester - Oak Court,Essex UK,12,Owned
Cygnet Hospital Colchester - Ramsey,Colchester UK,21,Owned
Cygnet Joyce Parker Hospital,Coventry UK,57,Owned
Cygnet Lodge,Sutton-in-Ashfield UK,8,Owned
Cygnet Lodge—Brighouse,Brighouse UK,25,Owned
Cygnet Lodge—Kenton,Middlesex UK,15,Owned
Cygnet Lodge—Lewisham,London UK,17,Owned
Cygnet Lodge—Salford,Manchester UK,24,Owned
Cygnet Lodge—Woking,Woking UK,32,Owned
Cygnet Manor,Shirebrook UK,20,Owned
Cygnet Newham House,Middlesbrough UK,20,Owned
Cygnet Nield House,Crewe UK,30,Owned
Cygnet Oaks,Barnsley UK,35,Owned
Cygnet Paddocks,Widnes UK,30,Owned
Cygnet Pindar House,Barnsley UK,22,Owned
Cygnet Raglan House,West Midlands UK,25,Owned
Cygnet Sedgley House,Wolverhampton UK,20,Owned
Cygnet Sedgley Lodge,Wolverhampton UK,14,Owned
Cygnet Sherwood House,Mansfield UK,30,Owned
Cygnet Sherwood Lodge,Mansfield UK,17,Owned
Cygnet St. Augustine's,Stoke on Trent UK,32,Owned
Cygnet St. Teilo House,Gwent UK,23,Owned
Cygnet St. Williams,Darlington UK,12,Owned
Cygnet Storthfield House,Derbyshire UK,22,Owned
Cygnet Victoria House,Darlington UK,26,Owned
Cygnet Views,Matlock UK,10,Owned
Cygnet Wallace Hospital,Dundee UK,10,Owned
Cygnet Wast Hills,Birmingham UK,26,Owned
Dene Brook,Rotherham UK,13,Owned
Devon Lodge,Southampton UK,12,Owned
Dove Valley Mews,Barnsley UK,10,Owned
Ducks Halt,Essex UK,5,Owned
Ellen Mhor,Dundee UK,12,Owned
Elston House,Newark UK,8,Owned
Fairways,Ipswich UK,8,Owned
The Fields,Sheffield UK,54,Owned
Gables,Essex UK,7,Owned
Gledcliffe Road,Huddersfield UK,6,Owned
Gledholt,Huddersfield UK,9,Owned
Gledholt Mews,Huddersfield UK,21,Owned
Glyn House,Stoke on Trent UK,5,Owned
Hansa Lodge,Rainham UK,5,Owned
Hawkstone,Keighley UK,10,Owned
Hollyhurst,Darlington UK,19,Owned
Hope House,Hartlepool UK,11,Owned
Kirkside House,Leeds UK,7,Owned
Kirkside Lodge,Leeds UK,8,Owned
Langdale Coach House,Huddersfield UK,3,Owned
Langdale House,Huddersfield UK,8,Owned
Lindsay House,Dundee UK,2,Owned
Longfield House,Bradford UK,9,Owned
Lowry House,Hyde UK,12,Owned
Malborn & Teroan,Mansfield UK,6,Owned
Marion House,Derby UK,5,Owned
Meadows Mews,Tipton UK,10,Owned
Morgan House,Stoke on Trent UK,5,Owned
